;Nome ;CEP;
716;Cerqueira;Mix;rafaelsouza0513@gmail.com;;cerqueiramix;;5521979064484;5521979064484;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
717;CONCREMAX;- Concrenorte concreto e construções;concretoprimavera@concremax.com.br;;concrenorteconcretos;;5566999972389;5566999972389;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
730;NEGO;PRÉ-MOLDADOS E CONST.;negopremoldados.const@gmail.com;;negoconstrucoes;;5548999940821;5548999940821;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
731;Rio;Pardo Concreteira;riopardoconcreteira@gmail.com;;riopardoconcreteira;;5567932381700;5567932381700;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
733;RB;Mix Concreto Usinado;concretorbmix@gmail.com;;rbmixconcreto;;5514998030833;5514998030833;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
743;TC;Concreto;tcfreitas.minerio@gmail.com;;tc_concreto;;5598986081239;5598986081239;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
754;Gemmax;Gradnja - Firma od poverenja;gemmaxgradnja@gmail.com;;gemmax_gradnja;;38163560305;38163560305;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
784;𝑪𝒐𝒏𝒄𝒓𝒆𝒕𝒎𝒊𝒙;| Concreto usinado;comercial@concretmix.com.br;;concretmix.januaria;;;;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
785;Construtora;Tripolo;sac@tripolo.com.br;;construtoratripolo;;556634268495;556634268495;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
813;Quimassa;;marketing@quimassa.com;;quimassaoficial;;;;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
830;Concreto.Com;Concreto Usinado;;;concretopontocom;;555134181757;555134181757;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
847;Terra;Concreto;;;concreteiraterrasaojoao;;5519997030504;5519997030504;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
850;BRC;Concreto Usinado;administrativo@brcconcreto.com.br;;brcconcreto;;5566996963933;5566996963933;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
852;Concregell;Concreto Usinado;recepcao.concregell@gmail.com;;concregell;;556332173320;556332173320;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
868;MB;Mix Concreto;;;mbmixconcreto;;5577999122383;5577999122383;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
880;Britaki;Concreto;gerencia1@britaki.com.br;;britakiconcreto;;5573999624534;5573999624534;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
891;Autovia;Concreto Ltda.;autovia@autoviaconcreto.com.br;;;;551838413223;;AUTOVIA CONCRETO;;;01967689000190;2330305 - PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;| 6399200 - OUTRAS ATIVIDADES DE PRESTACAO DE SERVICOS DE INFORMACAO NAO ESPECIFICADAS ANTERIORMENTE |;CNE,Redrive;;;;JUNQUEIROPOLIS;SP;17890000;PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;;;
892;Bertelli;- Bombeamento De Concreto Ltda;ruycecon@ruycecon.com.br;;;;551145349700;;;;;18435871000101;4399199 - SERVICOS ESPECIALIZADOS PARA CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;| 7732201 - ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA CONSTRUCAO SEM OPERADOR, EXCETO ANDAIMES | 4120400 - CONSTRUCAO DE EDIFICIOS | 6810201 - COMPRA E VENDA DE IMOVEIS PROPRIOS |;CNE,Redrive;;;;ITATIBA;SP;13256650;SERVICOS ESPECIALIZADOS PARA CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;;;;
893;A.;C. Otero & Cia Ltda;escritorioveronez@hotmail.com;;;;551432651078;551432651078;A. C. OTERO & CIA LTDA - ME;;;11519564000151;2330305 - PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;CNE,Redrive;;;;PIRATININGA;SP;17490001;PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;;;
894;Abcret;Industria E Comercio De Artefatos De Concreto Ltda;lumafran@terra.com.br;;;;551138363852;551136799418;;;;09298336000157;2330302 - FABRICACAO DE ARTEFATOS DE CIMENTO PARA USO NA CONSTRUCAO;| 2330301 - FABRICACAO DE ESTRUTURAS PRE-MOLDADAS DE CONCRETO ARMADO, EM SERIE E SOB ENCOMENDA |;CNE,Redrive;;;;CAIEIRAS;SP;7700971;FABRICACAO DE ARTEFATOS DE CIMENTO PARA USO NA CONSTRUCAO;;;;
895;Alexandre;Carvalho Rodrigues De Brito - Concreto;nmetas@nmetas.com.br;;;;551136840255;;;;;10455180000150;2330305 - PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;| 0111302 - CULTIVO DE MILHO | 0151203 - CRIACAO DE BOVINOS, EXCETO PARA CORTE E LEITE |;CNE,Redrive;;;;OSASCO;SP;6030016;PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;;;
896;Allan;Santos Sales;salles274@gmail.com;;;;5518996712298;;LS LAJES E ARTEFATOS DE CONCRETO;;;36163777000114;4744099 - COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;| 4742300 - COMERCIO VAREJISTA DE MATERIAL ELETRICO | 4744004 - COMERCIO VAREJISTA DE CAL, AREIA, PEDRA BRITADA, TIJOLOS E TELHAS | 4744003 - COMERCIO VAREJISTA DE MATERIAIS HIDRAULICOS | 4744002 - COMERCIO VAREJISTA DE MADEIRA E ARTEFATOS | 4744001 - COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAS |;CNE,Redrive;;;;PRESIDENTE EPITACIO;SP;19470000;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;;;;
897;Adriano;Aparecido Henrique;henrimixconstrutora@gmail.com;;;;551123038278;;HENRI CONCRETO;;;30071012000178;4744099 - COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;;CNE,Redrive;;;;SAO PAULO;SP;8240430;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;;;;
898;Anacleto;Mix Concretos Ltda;dantascontabilista@gmail.com;;;;5513997255136;;ANACLETO MIX CONCRETOS;;;39601979000199;2330305 - PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;CNE,Redrive;;;;ITANHAEM;SP;11740000;PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;;;
900;Ana;Paula Ferreira Do Carmo;isabellyf.campos@gmail.com;;;;551152724332;;DAN MIX CONCRETO;;;29014836000127;7732201 - ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA CONSTRUCAO SEM OPERADOR, EXCETO ANDAIMES;| 8219999 - PREPARACAO DE DOCUMENTOS E SERVICOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO NAO ESPECIFICADOS ANTERIORMENTE |;CNE,Redrive;;;;EMBU DAS ARTES;SP;6817180;ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA CONSTRUCAO SEM OPERADOR, EXCETO ANDAIMES;;;;
901;Andrade;Britta Tecnologia Em Concreto Asfaltico Arusp Ltda;juridico@andradebritta.com.br;;;;551236086000;5512991999433;ANDRADE BRITTA - TECNOLOGIA EM CONCRETO ASFALTICO;;;16739182000157;2330305 - PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;| 4744099 - COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL |;CNE,Redrive;;;;ARUJA;SP;7400015;PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;;;
903;Argamassas;Industrializadas Mm Ltda;;;;;551938062333;;;;;96439203000158;2330305 - PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;| 4613300 - REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MADEIRA, MATERIAL DE CONSTRUCAO E FERRAGENS |;CNE,Redrive;;;;MOGI MIRIM;SP;13803330;PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;;;
905;Antonio;Cristiano Leonel;cristianoleonel770@gmail.com;;;;551332588671;;C.J.S.A LAJES FERRAGENS E ARTEFATOS DE CONCRETOS;;;34226288000139;4744099 - COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;| 4744003 - COMERCIO VAREJISTA DE MATERIAIS HIDRAULICOS | 4744004 - COMERCIO VAREJISTA DE CAL, AREIA, PEDRA BRITADA, TIJOLOS E TELHAS | 4741500 - COMERCIO VAREJISTA DE TINTAS E MATERIAIS PARA PINTURA | 4744002 - COMERCIO VAREJISTA DE MADEIRA E ARTEFATOS | 4744001 - COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAS |;CNE,Redrive;;;;SANTOS;SP;11080670;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;;;;
907;Antonio;Rodrigues Santos Neto;laercio.accord.sp@gmail.com;;;;5511961546153;;GRUPO MIX CONCRETO E LOCACAO DE EQUIPAM;;;35904288000103;7732201 - ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA CONSTRUCAO SEM OPERADOR, EXCETO ANDAIMES;| 4744004 - COMERCIO VAREJISTA DE CAL, AREIA, PEDRA BRITADA, TIJOLOS E TELHAS |;CNE,Redrive;;;;SAO PAULO;SP;5181650;ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA CONSTRUCAO SEM OPERADOR, EXCETO ANDAIMES;;;;
908;Argafran;Argamassa Ltda;argafranargamassa@gmail.com;;;;551637038114;5516990514141;ARGAFRAN ARGAMASSA;;;29922268000162;2330305 - PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;| 2330301 - FABRICACAO DE ESTRUTURAS PRE-MOLDADAS DE CONCRETO ARMADO, EM SERIE E SOB ENCOMENDA |;CNE,Redrive;;;;FRANCA;SP;14403718;PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;;;
909;Arciuna;Industria E Comercio De Materiais Para Construcao  Ltda;escritoriodicon@uol.com.br;;;;551236323736;551236323587;UNATUBOS - TUBOS DE CONCRETO;;;07523300000102;2330302 - FABRICACAO DE ARTEFATOS DE CIMENTO PARA USO NA CONSTRUCAO;| 4744005 - COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE |;CNE,Redrive;;;;TAUBATE;SP;12072340;FABRICACAO DE ARTEFATOS DE CIMENTO PARA USO NA CONSTRUCAO;;;;
910;Bloco;Mr E Artefatos De Cimento Eireli;adm@metamixconcreto.com.br;;;;551532025180;;M R BLOCOS E PISOS;;;30590790000173;2330302 - FABRICACAO DE ARTEFATOS DE CIMENTO PARA USO NA CONSTRUCAO;| 4679699 - COMERCIO ATACADISTA DE MATERIAIS DE CONSTRUCAO EM GERAL | 4744099 - COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL |;CNE,Redrive;;;;SOROCABA;SP;18087350;FABRICACAO DE ARTEFATOS DE CIMENTO PARA USO NA CONSTRUCAO;;;;
912;Bocardo;Servicos De Concretagem Ltda;zanchettacont@terra.com.br;;;;551833511826;;CONCRETARIA BOCARDO;;;25032787000102;2330305 - PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;| 2330302 - FABRICACAO DE ARTEFATOS DE CIMENTO PARA USO NA CONSTRUCAO |;CNE,Redrive;;;;PALMITAL;SP;19970000;PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;;;
913;Br;- Bueno & Rocha Industria E Comercio De Argamassa Ltda.;argacolargamassa@hotmail.com;;;;551935245234;;;;;10611140000150;2330305 - PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;CNE,Redrive;;;;RIO CLARO;SP;13502741;PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;;;
916;C;R Concreto Usinado Ltda;societario@novaamerica.net;;;;551934759971;551934759970;;;;14630184000188;2330305 - PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;CNE,Redrive;;;;NOVA ODESSA;SP;13380001;PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;;;
917;Brasil;Mix Concreto Ltda;contato@jpwassessoriacontabil.com.br;;;;551330342714;551330342715;;;;20957509000215;2330305 - PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;CNE,Redrive;;;;ITANHAEM;SP;11740000;PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;;;
921;Fenix;Concreto Usinado Ltda;fenix.tecnica@uol.com.br;;;;551128674809;5511982316902;FENIX CONCRETO;;;10983418000110;4399199 - SERVICOS ESPECIALIZADOS PARA CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;| 4686902 - COMERCIO ATACADISTA DE EMBALAGENS | 4634602 - COMERCIO ATACADISTA DE AVES ABATIDAS E DERIVADOS |;CNE,Nutrindo;;;;SAO PAULO;SP;8140060;SERVICOS ESPECIALIZADOS PARA CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;;;;
922;Extramix;- Concreto Ltda;valquiria.dir@gbase.com.br;;;;551146028080;;;;;11517262000810;0810099 - EXTRACAO E BRITAMENTO DE PEDRAS E OUTROS MATERIAIS PARA CONSTRUCAO E BENEFICIAMENTO ASSOCIADO;| 4744004 - COMERCIO VAREJISTA DE CAL, AREIA, PEDRA BRITADA, TIJOLOS E TELHAS |;CNE,Redrive,Sem WhatsApp;;;;JAGUARIUNA;SP;13914682;EXTRACAO E BRITAMENTO DE PEDRAS E OUTROS MATERIAIS PARA CONSTRUCAO E BENEFICIAMENTO ASSOCIADO;;;;
923;Claude;Denis Nahas;simone@ellycontabil.com.br;;;;551136117792;;NAHAS CONCRETO;;;19108730000139;4399199 - SERVICOS ESPECIALIZADOS PARA CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;| 8111700 - SERVICOS COMBINADOS PARA APOIO A EDIFICIOS, EXCETO CONDOMINIOS PREDIAIS |;CNE,Redrive,Sem WhatsApp;;;;SAO PAULO;SP;4119010;SERVICOS ESPECIALIZADOS PARA CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;;;;
924;Cirillo;Industria E Comercio De Blocos E Materiais Para Construcao Ltda.;contato@hlcontabilidade.com.br;;;;551127537936;551127537110;CIRILLO COM. MATS.PARA CONSTRUCAO;;;03670394000183;2330301 - FABRICACAO DE ESTRUTURAS PRE-MOLDADAS DE CONCRETO ARMADO, EM SERIE E SOB ENCOMENDA;;CNE,Nutrindo,Redrive;;;;SAO CARLOS;SP;13573490;FABRICACAO DE ESTRUTURAS PREMOLDADAS DE CONCRETO ARMADO, EM SERIE E SOB ENCOMENDA;;;;
925;Centreville;Ind E Com De Materiais De Construcao Ltda;astro@escritorioastro.com.br;;;;551934425096;;CENTREVILLE;;;05601990000137;2330301 - FABRICACAO DE ESTRUTURAS PRE-MOLDADAS DE CONCRETO ARMADO, EM SERIE E SOB ENCOMENDA;| 4744099 - COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL |;CNE,Redrive,Sem WhatsApp;;;;LIMEIRA;SP;13484270;FABRICACAO DE ESTRUTURAS PREMOLDADAS DE CONCRETO ARMADO, EM SERIE E SOB ENCOMENDA;;;;
926;Cesar;Augusto Tessarini Buzeli;pinhal_plan@hotmail.com;;;;551936512018;;PINHALPLAN MATERIAIS PARA CONSTRUCAO;;;11695326000105;2330399 - FABRICACAO DE OUTROS ARTEFATOS E PRODUTOS DE CONCRETO, CIMENTO, FIBROCIMENTO, GESSO E MATERIAIS SEMELHANTES;| 4712100 - COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS - MINIMERCADOS, MERCEARIAS E ARMAZENS |;CNE,Redrive,Sem WhatsApp;;;;ESPIRITO SANTO DO PINHAL;SP;13990000;FABRICACAO DE OUTROS ARTEFATOS E PRODUTOS DE CONCRETO, CIMENTO, FIBROCIMENTO, GESSO E MATERIAIS SEMELHANTES;;;;
928;Celina;Aparecida Paiva;;;;;551231121866;5512997761779;GRILO CONCRETO;;;07516416000106;4744099 - COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;;CNE,Nutrindo,Redrive;;;;POTIM;SP;12525000;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;;;;
929;Casa;Do Concreto Eireli;contato@casadoconcreto.com.br;;;;551732641234;;;;;08102589000140;2330302 - FABRICACAO DE ARTEFATOS DE CIMENTO PARA USO NA CONSTRUCAO;| 0151201 - CRIACAO DE BOVINOS PARA CORTE | 0151203 - CRIACAO DE BOVINOS, EXCETO PARA CORTE E LEITE |;CNE,Redrive,Sem WhatsApp;;;;BALSAMO;SP;15140000;FABRICACAO DE ARTEFATOS DE CIMENTO PARA USO NA CONSTRUCAO;;;;
931;Mega;Construbras Industria E Comercio Ltda;douglas.assis999@gmail.com;;;;551141883697;;MEGA CONSTRUBRAS;;;11578280000136;2330305 - PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;| 4321500 - INSTALACAO E MANUTENCAO ELETRICA | 4399103 - OBRAS DE ALVENARIA | 4330404 - SERVICOS DE PINTURA DE EDIFICIOS EM GERAL | 4322301 - INSTALACOES HIDRAULICAS, SANITARIAS E DE GAS | 4330405 - APLICACAO DE REVESTIMENTOS E DE RESINAS EM INTERIORES E EXTERIORES |;CNE,Sem WhatsApp;;;;CARAPICUIBA;SP;6381480;PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;;;
991;BETO;RETIFICA;carlosalberto1992@hotmail.com;;betoretifica;;5582999559062;5582999559062;;;;;;;Instagram,prudemquimica,seguidores;;;;;;;;;;;
993;Goias;Correias Mantas;goiascorreias.claudiney@gmail.com;;goiascorreias;;5562991220301;5562991220301;;;;;;;Instagram,prudemquimica,seguidores;;;;;;;;;;;
1038;RMCA;Engenharia Ltda.;rmca@rmcaengenharia.com;;rmcaengenharia;;5585996301990;5585996301990;;;;;;;Instagram,prudemquimica,seguidores;;;;;;;;;;;
1072;Vale;da Serra Construtora & Concreto;atendimento@fogliatto.com.br;;valedaserraconstrutora;;556533391470;556533391470;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
1078;SOMOS;PAVIMENTOS 3182702565;pavimentamos@hotmail.com;;paviquim_;;573182702565;573182702565;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
1092;S;& L Concreto;selconcreto2@gmail.com;;selconcreto;;5562981989218;5562981989218;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
1093;JPB;Rental;contato@jpbrental.com.br;;jpbrental;;;;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
1095;TOTAL;PAV SP;orcamentos@totalpavsp.com.br;;totalpav.sp;;5511989694514;5511989694514;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
1096;Polimix;concreto usinado;polimixpagamentos869@gmail.com;;polimixconcreto2;;5511933826636;5511933826636;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
1097;Ricamix;;contato@ricamix.com.br;;ricamix_;;;;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
1117;Cerenge;;Cerenge@cerenge.com.br;;grupocerenge;;;;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
1121;PoçãoMix;| Concreto e Bomba;alberto.j.siqueira@gmail.com;;pocaomix;;5581998231761;5581998231761;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
1150;Super;Beto;;;super_betoo;;551193962270;551193962270;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
1154;Grupo;Bm&P Engenharia;bmpengenharia@hotmail.com;;bmpmixconcreto;;5543984430765;5543984430765;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
1162;Solo;Novo Areia Brita Concreto;solonovoareiaebrita@outlook.com;;solonovoconcreto;;553432295476;553432295476;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
1179;brasilia;Concreto Usinado Df - Whatsapp 61-4101-1118;;;brasiliaconcretousinado;;556141011118;556141011118;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
1203;Rentalmix;Bombas e Concreto;gabriel@rentalmix.com.br;;rentalmix_bombas_concreto;;551141951269;551141951269;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
1213;Lè;Mix Concreto;;;lemixconcreto;;558230152322;558230152322;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
1214;MINEROMIX;;mineromix@hotmail.com;;mineromix;;554535784101;554535784101;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
1221;NasceMix;- Concreto e Serviços;;;nascemix_concretousinado;;5511966577139;5511966577139;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
1248;Cbuq;- Preparacao De Concreto Betuminoso Eireli;patriciageo@gmail.com;;;;5519991661740;551934334855;;;;27644644000250;7732201 - ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA CONSTRUCAO SEM OPERADOR, EXCETO ANDAIMES;| 4520007 - SERVICOS DE INSTALACAO, MANUTENCAO E REPARACAO DE ACESSORIOS PARA VEICULOS AUTOMOTORES |;CNE,Nutrindo,Redrive;;;;NOVA ODESSA;SP;13380001;ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA CONSTRUCAO SEM OPERADOR, EXCETO ANDAIMES;;;;
1249;Casa;Nova E Concreto - Servicos De Construcao Ltda;admoest@hotmail.com;;;;551124041828;;CASA NOVA CONCRETO USINADO;;;26028710000113;4399199 - SERVICOS ESPECIALIZADOS PARA CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;;CNE,Redrive,Sem WhatsApp;;;;GUARULHOS;SP;7141210;SERVICOS ESPECIALIZADOS PARA CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;;;;
1251;Claudio;Matias Soares;pradojardimcontabilidade@outlook.com;;;;551144882723;;CLAUDIO MIX CONCRETO;;;21724634000167;7732201 - ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA CONSTRUCAO SEM OPERADOR, EXCETO ANDAIMES;| 4313400 - OBRAS DE TERRAPLENAGEM |;CNE,Redrive,Sem WhatsApp;;;;FRANCISCO MORATO;SP;7912120;ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA CONSTRUCAO SEM OPERADOR, EXCETO ANDAIMES;;;;
1252;Clarinda;Vicente Ferreira;serafimcontabil@hotmail.com;;;;5516993472610;;MIX CONCRETEIRA;;;17235424000138;2330305 - PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;CNE,Nutrindo,Redrive;;;;CRISTAIS PAULISTA;SP;14460000;PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;;;
1253;Clanap;Comercio,importacao, Exportacao Ltda;sac@progressocontabil.com.br;;;;551123445252;;;;;02371883000171;2330305 - PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;| 8599604 - TREINAMENTO EM DESENVOLVIMENTO PROFISSIONAL E GERENCIAL |;CNE,Redrive,Sem WhatsApp;;;;SAO PAULO;SP;3178020;PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;;;
1254;Macro;Fort - Artefatos De Concreto Ltda;erb.bastos@hotmail.com;;;;551434782790;;LAJES MACRO FORT;;;08763196000340;2330302 - FABRICACAO DE ARTEFATOS DE CIMENTO PARA USO NA CONSTRUCAO;| 4744099 - COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL |;CNE,Sem WhatsApp;;;;BASTOS;SP;17690000;FABRICACAO DE ARTEFATOS DE CIMENTO PARA USO NA CONSTRUCAO;;;;
1256;Marcomix;- Concreto, Servicos E Locacoes Ltda;victor@contacem.cnt.br;;;;551833248401;551833416495;MARCOMIX - CONCRETO, SERVICOS E LOCACOES LTDA;;;30993841000108;7732201 - ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA CONSTRUCAO SEM OPERADOR, EXCETO ANDAIMES;;CNE,Sem WhatsApp;;;;TARUMA;SP;19820000;ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA CONSTRUCAO SEM OPERADOR, EXCETO ANDAIMES;;;;
1257;Central;Do Concreto Ltda;lealcontabil@ig.com.br;;;;551124972566;;;;;11119057000120;4744099 - COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;| 6202300 - DESENVOLVIMENTO E LICENCIAMENTO DE PROGRAMAS DE COMPUTADOR CUSTOMIZAVEIS | 6201501 - DESENVOLVIMENTO DE PROGRAMAS DE COMPUTADOR SOB ENCOMENDA | 6209100 - SUPORTE TECNICO, MANUTENCAO E OUTROS SERVICOS EM TECNOLOGIA DA INFORMACAO | 6204000 - CONSULTORIA EM TECNOLOGIA DA INFORMACAO | 8599603 - TREINAMENTO EM INFORMATICA | 6319400 - PORTAIS, PROVEDORES DE CONTEUDO E OUTROS SERVICOS DE INFORMACAO NA INTERNET | 6203100 - DESENVOLVIMENTO E LICENCIAMENTO DE PROGRAMAS DE COMPUTADOR NAO-CUSTOMIZAVEIS |;CNE,Redrive,Sem WhatsApp;;;;GUARULHOS;SP;7077110;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;;;;
1260;Argamais;Tecnologia Em Argamassas Ltda;;;;;551146554839;;ARGAMAIS;;;05888408000165;2330305 - PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;CNE,Redrive;;;;ARUJA;SP;7400015;PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;;;
1264;Bruna;F. Dinallo;usimassa@gmail.com;;;;551832216276;;USI-MASSA;;;10156615000165;2330305 - PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;| 4399199 - SERVICOS ESPECIALIZADOS PARA CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE |;CNE,Redrive;;;;PRESIDENTE PRUDENTE;SP;19043130;PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;;;
1265;Bueno;& Silva Materiais Para Construcao Ltda;lune.sor@terra.com.br;;;;551532116731;;LAJES BUENO;;;05540360000108;2330301 - FABRICACAO DE ESTRUTURAS PRE-MOLDADAS DE CONCRETO ARMADO, EM SERIE E SOB ENCOMENDA;| 2330302 - FABRICACAO DE ARTEFATOS DE CIMENTO PARA USO NA CONSTRUCAO | 4744001 - COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAS | 4744099 - COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL |;CNE,Redrive;;;;SOROCABA;SP;18078005;FABRICACAO DE ESTRUTURAS PREMOLDADAS DE CONCRETO ARMADO, EM SERIE E SOB ENCOMENDA;;;;
